Coindcx_name,Base_currency_short_name,Target_currency_short_name,Target_currency_name,Base_currency_name,Min_quantity,Max_quantity,Min_price,Max_price,Min_notional,Base_currency_precision,Target_currency_precision,Step,order_types,Symbol,Ecode,Max_leverage,Max_leverage_short,Pair,Status
EDUBTC,BTC,EDU,Open Campus,Bitcoin,1.0,92141578.0,1e-08,1000.0,0.001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",EDUBTC,B,,,B-EDU_BTC,active
CYBERETH,ETH,CYBER,CyberConnect,Ethereum,0.01,92141578.0,1e-06,1000.0,0.01,6,2,0.01,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",CYBERETH,B,,,B-CYBER_ETH,active
HIPUNKSUSDT,USDT,HIPUNKS,hiPUNKS,Tether,0.1,99999999.0,0.028043333333333333,0.25239,1e-06,5,4,0.0001,"['market_order', 'limit_order']",HIPUNKSUSDT,KC,,,KC-HIPUNKS_USDT,active
SOLVEUSDT,USDT,SOLVE,SOLVE,Tether,0.1,99999999.0,0.007486666666666667,0.06738,1e-06,5,4,0.0001,"['market_order', 'limit_order']",SOLVEUSDT,KC,,,KC-SOLVE_USDT,active
BWOUSDT,USDT,BWO,Battle World,Tether,0.01,8333333.0,0.012833333333333334,0.1155,10.0,4,4,0.0001,['limit_order'],BWOUSDT,H,,,H-BWO_USDT,active
TOMSUSDT,USDT,TOMS,TomTomCoin,Tether,1.0,103594737.0,0.000412666666666667,0.003714,10.0,6,4,0.0001,['limit_order'],TOMSUSDT,H,,,H-TOMS_USDT,active
SWEATUSDT,USDT,SWEAT,Sweat Economy,Tether,1.0,18532246.0,0.003279,0.029511,10.0,6,4,0.0001,['limit_order'],SWEATUSDT,H,,,H-SWEAT_USDT,active
EDUUSDT,USDT,EDU,Open Campus,Tether,1.0,92141578.0,1e-05,1000.0,10.0,5,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",EDUUSDT,B,,,B-EDU_USDT,active
HIBAKCUSDT,USDT,HIBAKC,hiBAKC,Tether,0.1,99999999.0,0.002754,0.024786,1e-07,6,4,0.0001,"['market_order', 'limit_order']",HIBAKCUSDT,KC,,,KC-HIBAKC_USDT,active
VOXELUSDT,USDT,VOXEL,Voxies,Tether,0.1,92141578.0,0.0001,1000.0,10.0,4,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",VOXELUSDT,B,,,B-VOXEL_USDT,active
KMDUSDT,USDT,KMD,Komodo,Tether,1.0,900000.0,0.0001,1000.0,10.0,4,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",KMDUSDT,B,,,B-KMD_USDT,active
ACSUSDT,USDT,ACS,Access Protocol,Tether,1.0,241662638.0,0.000759,0.006831,10.0,6,4,0.0001,['limit_order'],ACSUSDT,H,,,H-ACS_USDT,active
WAXLUSDT,USDT,WAXL,Axelar,Tether,0.1,99999999.0,0.13963333333333333,1.2567,1e-05,4,4,0.0001,"['market_order', 'limit_order']",WAXLUSDT,KC,,,KC-WAXL_USDT,active
